time,density1,density2,density3,density4,density5,density6,density7
2865.000000, 0.000000, 9.316770, 7.326007, 31.141869, 57.553957, 6.125574, 3.305785
2880.000000, 22.988506, 9.316770, 7.326007, 0.000000, 100.719424, 9.188361, 1.652893
2895.000000, 34.482759, 9.316770, 3.663004, 0.000000, 100.719424, 6.125574, 0.000000
2910.000000, 11.494253, 15.527950, 10.989011, 3.460208, 93.525180, 4.594181, 0.000000
2925.000000, 0.000000, 3.105590, 29.304029, 3.460208, 35.971223, 13.782542, 11.570248
2940.000000, 22.988506, 3.105590, 29.304029, 6.920415, 0.000000, 27.565084, 8.264463
2955.000000, 11.494253, 12.422360, 14.652015, 20.761246, 21.582734, 19.908116, 8.264463
2970.000000, 0.000000, 12.422360, 3.663004, 3.460208, 35.971223, 12.251149, 29.752066
2985.000000, 34.482759, 6.211180, 3.663004, 0.000000, 0.000000, 21.439510, 16.528926
3000.000000, 34.482759, 6.211180, 3.663004, 0.000000, 7.194245, 16.845329, 9.917355
3015.000000, 0.000000, 31.055901, 14.652015, 3.460208, 7.194245, 15.313936, 3.305785
3030.000000, 0.000000, 9.316770, 29.304029, 3.460208, 21.582734, 15.313936, 1.652893
3045.000000, 11.494253, 6.211180, 21.978022, 13.840830, 21.582734, 15.313936, 1.652893
3060.000000, 0.000000, 12.422360, 3.663004, 20.761246, 43.165468, 13.782542, 1.652893
3075.000000, 0.000000, 15.527950, 3.663004, 6.920415, 28.776978, 9.188361, 11.570248
3090.000000, 22.988506, 15.527950, 0.000000, 3.460208, 14.388489, 27.565084, 16.528926
3105.000000, 22.988506, 18.633540, 14.652015, 3.460208, 7.194245, 27.565084, 8.264463
3120.000000, 11.494253, 15.527950, 21.978022, 3.460208, 7.194245, 10.719755, 21.487603
3135.000000, 22.988506, 9.316770, 32.967033, 3.460208, 14.388489, 13.782542, 14.876033
3150.000000, 0.000000, 12.422360, 14.652015, 27.681661, 7.194245, 15.313936, 14.876033
3165.000000, 0.000000, 12.422360, 7.326007, 6.920415, 57.553957, 10.719755, 13.223140
3180.000000, 22.988506, 12.422360, 0.000000, 3.460208, 86.330935, 7.656968, 4.958678
3195.000000, 45.977011, 12.422360, 0.000000, 0.000000, 100.719424, 4.594181, 1.652893
3210.000000, 11.494253, 15.527950, 21.978022, 0.000000, 93.525180, 6.125574, 0.000000
3225.000000, 0.000000, 6.211180, 36.630037, 0.000000, 28.776978, 12.251149, 11.570248
3240.000000, 22.988506, 6.211180, 36.630037, 13.840830, 0.000000, 30.627871, 16.528926
3255.000000, 0.000000, 15.527950, 10.989011, 27.681661, 7.194245, 27.565084, 11.570248
3270.000000, 34.482759, 18.633540, 10.989011, 10.380623, 43.165468, 10.719755, 24.793388
3285.000000, 45.977011, 12.422360, 10.989011, 0.000000, 7.194245, 24.502297, 14.876033
3300.000000, 68.965517, 9.316770, 3.663004, 6.920415, 7.194245, 29.096478, 13.223140
3315.000000, 34.482759, 31.055901, 21.978022, 6.920415, 7.194245, 16.845329, 8.264463
3330.000000, 11.494253, 21.739130, 51.282051, 3.460208, 14.388489, 16.845329, 1.652893
3345.000000, 0.000000, 12.422360, 25.641026, 20.761246, 28.776978, 15.313936, 1.652893
3360.000000, 11.494253, 18.633540, 3.663004, 38.062284, 43.165468, 12.251149, 0.000000
3375.000000, 34.482759, 18.633540, 7.326007, 6.920415, 43.165468, 29.096478, 11.570248
3390.000000, 34.482759, 18.633540, 7.326007, 0.000000, 14.388489, 35.222052, 26.446281
3405.000000, 22.988506, 12.422360, 21.978022, 0.000000, 21.582734, 29.096478, 14.876033
3420.000000, 11.494253, 18.633540, 21.978022, 0.000000, 7.194245, 16.845329, 24.793388
3435.000000, 0.000000, 15.527950, 36.630037, 3.460208, 0.000000, 9.188361, 16.528926
3450.000000, 11.494253, 6.211180, 21.978022, 24.221453, 7.194245, 9.188361, 14.876033
3465.000000, 0.000000, 12.422360, 3.663004, 31.141869, 50.359712, 7.656968, 4.958678
3480.000000, 11.494253, 9.316770, 3.663004, 0.000000, 86.330935, 6.125574, 3.305785
3495.000000, 11.494253, 9.316770, 3.663004, 3.460208, 107.913669, 6.125574, 3.305785
3510.000000, 0.000000, 15.527950, 10.989011, 3.460208, 86.330935, 6.125574, 0.000000
3525.000000, 22.988506, 12.422360, 29.304029, 3.460208, 64.748201, 12.251149, 9.917355
3540.000000, 11.494253, 12.422360, 21.978022, 6.920415, 7.194245, 29.096478, 6.611570
3555.000000, 0.000000, 18.633540, 10.989011, 27.681661, 14.388489, 27.565084, 11.570248
3570.000000, 11.494253, 21.739130, 3.663004, 10.380623, 43.165468, 18.376723, 21.487603
3585.000000, 22.988506, 15.527950, 3.663004, 0.000000, 7.194245, 24.502297, 18.181818
3600.000000, 45.977011, 12.422360, 3.663004, 0.000000, 28.776978, 24.502297, 8.264463
3615.000000, 11.494253, 27.950311, 29.304029, 3.460208, 28.776978, 19.908116, 6.611570
3630.000000, 0.000000, 12.422360, 40.293040, 3.460208, 28.776978, 19.908116, 0.000000
3645.000000, 11.494253, 6.211180, 25.641026, 20.761246, 43.165468, 16.845329, 0.000000
3660.000000, 0.000000, 18.633540, 10.989011, 24.221453, 71.942446, 13.782542, 0.000000
3675.000000, 22.988506, 15.527950, 10.989011, 3.460208, 21.582734, 19.908116, 13.223140
3690.000000, 34.482759, 15.527950, 7.326007, 3.460208, 7.194245, 33.690658, 24.793388
3705.000000, 22.988506, 3.105590, 18.315018, 6.920415, 14.388489, 32.159265, 13.223140
3720.000000, 0.000000, 27.950311, 18.315018, 3.460208, 7.194245, 16.845329, 18.181818
3735.000000, 11.494253, 12.422360, 51.282051, 3.460208, 0.000000, 10.719755, 19.834711
3750.000000, 11.494253, 12.422360, 32.967033, 34.602076, 14.388489, 10.719755, 16.528926
3765.000000, 0.000000, 21.739130, 10.989011, 41.522491, 35.971223, 7.656968, 6.611570
3780.000000, 45.977011, 18.633540, 7.326007, 6.920415, 100.719424, 4.594181, 3.305785
3795.000000, 57.471264, 18.633540, 0.000000, 3.460208, 129.496403, 6.125574, 0.000000
3810.000000, 11.494253, 15.527950, 25.641026, 3.460208, 115.107914, 4.594181, 0.000000
3825.000000, 0.000000, 21.739130, 47.619048, 3.460208, 50.359712, 13.782542, 8.264463
3840.000000, 11.494253, 15.527950, 43.956044, 13.840830, 28.776978, 32.159265, 8.264463
3855.000000, 34.482759, 18.633540, 25.641026, 27.681661, 14.388489, 29.096478, 13.223140
3870.000000, 11.494253, 27.950311, 3.663004, 27.681661, 28.776978, 16.845329, 23.140496
3885.000000, 34.482759, 18.633540, 3.663004, 0.000000, 14.388489, 30.627871, 28.099174
3900.000000, 57.471264, 15.527950, 3.663004, 3.460208, 7.194245, 35.222052, 6.611570
3915.000000, 0.000000, 37.267081, 32.967033, 3.460208, 21.582734, 18.376723, 3.305785
3930.000000, 11.494253, 9.316770, 43.956044, 6.920415, 14.388489, 21.439510, 1.652893
3945.000000, 11.494253, 9.316770, 32.967033, 17.301038, 21.582734, 21.439510, 1.652893
3960.000000, 11.494253, 21.739130, 29.304029, 38.062284, 35.971223, 22.970904, 1.652893
3975.000000, 22.988506, 21.739130, 14.652015, 13.840830, 21.582734, 22.970904, 8.264463
3990.000000, 22.988506, 15.527950, 3.663004, 3.460208, 21.582734, 27.565084, 33.057851
4005.000000, 0.000000, 15.527950, 18.315018, 13.840830, 7.194245, 26.033691, 26.446281
4020.000000, 11.494253, 21.739130, 21.978022, 3.460208, 14.388489, 12.251149, 24.793388
4035.000000, 22.988506, 15.527950, 32.967033, 3.460208, 7.194245, 7.656968, 24.793388
4050.000000, 11.494253, 15.527950, 10.989011, 31.141869, 21.582734, 6.125574, 16.528926
4065.000000, 0.000000, 24.844720, 7.326007, 20.761246, 50.359712, 4.594181, 4.958678
4080.000000, 34.482759, 21.739130, 7.326007, 0.000000, 71.942446, 4.594181, 3.305785
4095.000000, 103.448276, 21.739130, 3.663004, 3.460208, 79.136691, 3.062787, 1.652893
4110.000000, 34.482759, 18.633540, 32.967033, 3.460208, 79.136691, 1.531394, 1.652893
4125.000000, 11.494253, 24.844720, 32.967033, 3.460208, 35.971223, 9.188361, 9.917355
4140.000000, 11.494253, 18.633540, 40.293040, 3.460208, 0.000000, 27.565084, 6.611570
4155.000000, 22.988506, 15.527950, 36.630037, 31.141869, 7.194245, 26.033691, 4.958678
4170.000000, 11.494253, 15.527950, 3.663004, 34.602076, 50.359712, 12.251149, 21.487603
4185.000000, 22.988506, 12.422360, 3.663004, 0.000000, 14.388489, 15.313936, 23.140496
4200.000000, 45.977011, 9.316770, 7.326007, 0.000000, 7.194245, 32.159265, 8.264463
4215.000000, 0.000000, 37.267081, 18.315018, 0.000000, 21.582734, 26.033691, 6.611570
4230.000000, 0.000000, 15.527950, 43.956044, 3.460208, 21.582734, 22.970904, 3.305785
4245.000000, 0.000000, 9.316770, 25.641026, 13.840830, 35.971223, 22.970904, 3.305785
4260.000000, 0.000000, 15.527950, 14.652015, 31.141869, 50.359712, 21.439510, 1.652893
4275.000000, 11.494253, 21.739130, 3.663004, 20.761246, 28.776978, 27.565084, 19.834711
4290.000000, 45.977011, 18.633540, 3.663004, 0.000000, 14.388489, 27.565084, 39.669421
4305.000000, 34.482759, 15.527950, 18.315018, 0.000000, 7.194245, 24.502297, 16.528926
4320.000000, 0.000000, 24.844720, 25.641026, 0.000000, 14.388489, 15.313936, 26.446281
4335.000000, 11.494253, 12.422360, 54.945055, 0.000000, 0.000000, 10.719755, 19.834711
4350.000000, 11.494253, 21.739130, 32.967033, 27.681661, 7.194245, 9.188361, 11.570248
